length,references,links,citations_template,citations_non_template,categories,-1obox,images,l2_headings,l3plus_headings,languages,flesch,flesch_kincaid,smog,coleman_liau,ari,dale_chall,linsear_write,gunning_fog,spache
8480,12,76,0,12,6,1,0,0,0,6,57.17,10.8,13.24,9.49,11.41,12.16,14.8,12.94,8.63
658,2,0,0,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
4379,14,8,3,11,3,0,0,2,0,1,43.75,9.08,11.98,12.7,8.38,14.87,5.16,8.43,7.28
45090,93,200,25,68,2,0,9,0,2,0,38.78,13.39,15.56,12.56,13.93,11.6,16.58,15.92,8.6
59172,108,235,62,46,17,0,12,0,0,10,40.66,14.14,11.98,11.29,14.87,13.14,18.93,16.45,9.75
40320,97,242,85,12,4,1,0,9,3,20,30.08,21.94,18.17,7.28,24.5,15.39,33.0,24.22,14.23
5348,0,137,0,0,1,0,0,5,3,0,31.32,22.06,-1,6.64,24.6,18.59,36.62,25.9,15.54
34984,25,281,5,20,5,1,10,9,5,12,31.39,15.55,20.24,13.43,16.81,13.25,19.69,14.54,9.94
2431,1,33,1,0,6,1,0,1,0,1,56.45,10.63,-1,6.4,8.43,13.48,14.3,11.89,9.26
2581,0,26,0,0,2,0,0,2,0,0,9.86,32.63,-1,2.77,37.22,20.2,50.5,35.26,19.75
7268,0,57,0,0,2,0,4,1,0,2,61.81,8.76,11.54,8.43,8.0,10.22,10.73,10.46,6.91
1232,0,7,0,0,3,1,0,1,0,0,41.07,13.67,-1,10.05,13.07,17.79,17.88,15.74,11.98
26679,82,102,8,74,5,1,1,6,7,0,52.27,11.6,14.31,11.09,12.93,10.77,15.62,13.81,8.22
13518,0,161,0,0,3,1,28,7,3,0,38.87,20.94,15.82,4.13,22.45,17.28,31.96,23.57,15.03
21335,17,39,0,17,3,1,0,6,2,0,57.45,9.44,12.04,9.65,9.1,10.03,11.34,10.68,6.86
12951,34,40,18,16,3,1,0,4,0,1,49.63,11.81,13.92,11.41,12.88,11.67,15.14,13.75,8.66
11459,0,41,0,0,1,0,0,0,0,3,82.83,6.19,9.81,-1.89,0.37,19.03,10.73,7.87,11.37
116688,202,597,169,33,2,0,16,11,19,0,39.75,16.4,16.28,11.52,19.32,13.39,23.21,18.86,10.94
1395,3,19,0,3,5,0,0,2,0,0,78.13,5.97,-1,3.93,3.52,11.09,8.29,8.7,7.52
29904,78,178,36,42,14,1,1,5,2,15,60.11,11.57,13.08,6.68,11.45,12.33,16.77,13.94,9.33
965,0,6,0,0,1,1,0,1,0,0,74.78,6.78,-1,6.85,6.43,12.22,10.14,6.97,8.22
1434,0,25,0,0,4,0,0,1,0,0,96.03,2.94,-1,-0.69,-1.05,9.95,6.06,6.7,6.33
2052,2,14,0,2,3,0,0,1,0,0,57.78,9.17,-1,9.25,8.38,11.1,11.39,10.26,7.54
25159,44,148,34,10,4,1,1,5,4,1,44.98,15.13,15.86,9.1,16.28,12.6,21.73,18.01,10.22
894,0,11,0,0,0,0,0,0,0,0,-30.51,42.31,-1,9.47,51.04,17.75,71.0,45.06,20.46
7420,5,37,2,3,9,0,1,5,0,0,30.01,17.14,-1,11.98,18.44,12.01,23.12,19.4,10.04
840,0,13,0,0,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
158640,68,696,133,-65,1,0,0,11,16,0,21.95,21.08,19.12,11.81,24.03,13.07,30.6,23.71,11.59
63264,134,279,13,121,27,1,2,7,8,21,53.47,11.27,13.92,9.98,11.72,10.43,15.0,13.5,7.82
144745,246,534,223,23,50,1,0,18,15,94,49.29,12.49,16.11,10.58,13.42,11.24,16.83,15.05,8.5
42194,88,433,23,65,2,0,1,8,11,55,54.14,12.06,13.45,8.4,12.17,11.83,16.72,14.7,8.99
73449,153,410,1,152,10,1,15,9,16,30,37.76,13.16,15.29,11.75,12.57,12.9,15.97,13.97,8.89
2253,3,24,0,3,6,1,0,4,0,0,47.78,11.72,-1,6.72,8.46,14.98,15.0,12.09,9.77
833,0,9,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
16159,42,64,0,42,12,1,0,0,0,0,54.29,10.52,15.07,9.97,10.52,13.01,13.68,11.02,8.83
12392,25,60,19,6,2,5,1,4,0,0,55.94,10.55,13.97,9.18,10.37,10.68,14.3,12.79,7.68
5795,10,50,0,10,7,0,1,4,0,3,52.86,10.86,14.02,10.37,11.1,12.55,14.01,12.12,8.72
129633,218,373,19,199,16,1,6,8,13,48,29.66,16.45,17.66,13.46,18.15,13.36,22.68,17.64,10.2
2281,5,8,0,5,4,0,0,1,0,0,53.01,10.22,-1,11.66,10.99,10.98,12.75,11.0,7.48
18858,17,120,8,9,1,0,0,1,0,0,42.05,14.62,17.24,9.46,14.74,13.95,20.1,15.29,10.47
14808,27,61,20,7,7,1,0,4,3,0,26.35,16.47,18.1,13.81,17.55,13.58,20.82,17.84,9.97
16895,19,89,3,16,15,1,0,6,0,0,51.19,11.76,14.65,10.26,12.27,10.32,15.53,13.54,7.85
21450,9,277,1,8,10,0,2,8,2,42,58.24,10.55,13.08,7.34,9.51,12.53,14.63,12.69,8.69
17086,13,72,8,5,5,0,0,7,5,1,56.41,11.77,13.82,8.06,11.95,10.26,16.52,14.22,7.99
1312,2,11,2,0,3,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
16337,59,68,8,51,3,0,0,4,0,2,40.42,13.66,16.77,10.42,13.17,11.94,17.89,15.27,8.73
14414,8,108,1,7,3,1,2,9,8,14,64.95,11.53,13.56,3.31,10.01,15.52,18.4,14.58,11.46
47033,30,418,28,2,7,0,8,16,1,33,47.84,15.06,14.51,8.26,16.28,13.34,22.22,17.38,10.95
84965,132,674,47,85,4,1,0,14,14,0,31.69,15.78,19.52,12.11,16.29,13.18,20.84,16.47,9.78
771,1,7,1,0,3,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
5626,2,17,0,2,6,0,1,3,0,0,46.54,12.17,15.25,11.88,13.12,10.28,15.76,15.17,7.73
10902,18,71,14,4,14,1,1,4,4,0,33.96,18.3,-1,13.63,23.23,15.12,26.38,19.55,12.68
855,2,7,0,2,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1533,2,19,2,0,9,0,0,1,0,1,43.38,12.53,-1,11.48,12.65,15.35,16.0,15.8,10.09
114953,153,558,3,150,44,1,1,11,21,93,51.55,10.81,14.27,10.15,10.48,10.91,13.28,12.86,7.65
10178,30,41,9,21,3,1,0,5,0,0,60.35,9.57,11.34,9.43,9.89,9.43,12.68,12.11,6.91
17639,20,117,8,12,9,0,1,4,0,0,55.76,13.22,16.85,4.7,11.94,15.52,19.33,14.58,11.5
8876,48,44,0,48,8,1,0,4,0,0,68.32,6.82,10.13,7.81,5.79,11.09,7.42,8.14,6.98
32815,130,142,110,20,3,0,9,7,0,4,71.93,9.65,12.63,3.55,8.41,16.72,16.2,13.24,11.33
22755,21,107,0,21,2,0,4,9,2,8,51.06,10.36,14.46,10.75,10.04,11.09,12.41,11.8,7.21
58341,236,152,3,233,8,1,0,11,8,2,54.33,10.83,14.7,11.05,11.97,10.18,13.39,12.54,7.63
2073,1,19,1,0,2,0,0,2,0,0,58.0,12.47,-1,7.29,13.14,15.68,20.5,16.42,11.73
92588,149,316,59,90,10,1,18,3,12,19,23.58,18.09,19.02,13.77,19.97,13.42,25.36,19.02,10.69
16255,0,243,0,0,4,1,0,8,16,1,-26.94,45.55,-1,6.96,56.83,18.87,75.7,50.74,23.61
9792,19,34,5,14,4,0,0,5,2,0,38.29,14.79,15.73,12.97,16.85,10.48,19.27,16.98,8.99
11472,0,151,0,0,12,1,1,7,2,28,38.47,14.68,17.92,10.34,14.57,12.52,20.38,14.98,9.45
2399,1,20,1,0,2,1,0,1,0,1,-31.92,34.88,-1,13.92,38.71,21.68,55.67,38.99,18.95
11557,0,131,0,0,1,0,1,6,0,0,66.73,7.9,11.92,7.05,6.59,11.42,10.28,9.67,7.55
11742,24,60,16,8,5,1,0,5,2,4,71.27,8.14,11.34,6.44,7.67,10.43,11.95,10.69,7.61
33440,93,245,16,77,5,1,0,12,8,11,55.62,12.73,14.07,6.83,12.65,12.53,18.43,15.61,9.55
11435,23,55,8,15,5,1,0,6,0,5,37.98,15.31,16.69,11.28,16.44,12.85,20.59,17.26,9.76
50641,67,262,44,23,6,0,5,6,3,6,51.17,14.56,14.17,6.52,14.81,14.02,21.0,16.43,11.31
8448,0,66,0,0,5,1,0,6,4,0,66.36,10.11,13.4,6.53,10.18,13.16,15.67,12.71,9.72
1253,0,9,0,0,4,1,0,0,0,0,33.17,21.99,-1,6.91,25.19,16.66,32.67,23.35,15.44
63935,178,268,19,159,27,1,2,19,4,3,37.45,18.72,17.08,9.31,21.61,11.09,28.47,22.37,10.75
17034,11,103,10,1,4,1,2,7,2,0,47.38,13.31,15.29,10.4,14.37,10.36,18.22,16.38,8.28
3448,0,20,0,0,1,0,0,1,0,0,58.78,10.37,-1,8.32,10.08,10.95,14.0,12.57,7.76
41520,22,345,6,16,9,1,4,0,0,7,43.26,13.71,16.11,11.05,14.55,12.54,17.97,15.4,9.41
8211,5,40,2,3,1,1,2,6,0,1,31.47,14.96,16.03,12.39,14.86,11.68,18.33,14.31,8.95
29501,73,172,44,29,8,1,0,10,2,8,50.82,13.88,16.81,8.09,14.61,13.51,20.06,16.12,10.66
8776,3,117,0,3,11,0,1,4,4,11,46.72,19.33,-1,1.32,19.13,19.34,27.96,21.54,16.09
26284,78,205,27,51,15,1,0,7,4,0,69.17,8.59,11.79,6.83,8.27,11.13,12.4,11.02,8.16
43978,35,166,14,21,6,1,0,9,17,0,50.94,11.3,15.29,10.06,11.17,12.32,14.51,13.04,8.95
18966,49,68,30,19,4,0,0,0,0,8,20.67,26.17,-1,10.51,33.12,19.29,41.24,28.98,16.9
1118,3,9,2,1,4,0,0,1,0,0,43.15,11.89,-1,14.7,13.96,14.59,13.75,12.93,9.47
2184,1,34,0,1,4,1,0,3,0,2,54.91,16.42,-1,2.9,16.77,17.37,27.1,18.69,14.51
147666,177,753,14,163,6,1,0,9,36,77,38.8,13.95,17.95,11.74,14.36,12.07,17.93,15.72,8.93
14896,28,143,12,16,1,1,0,8,0,0,69.74,9.27,10.65,2.03,5.88,16.2,13.65,10.58,11.05
20307,32,132,25,7,3,1,0,0,0,0,42.3,13.97,16.03,10.1,14.03,13.28,18.85,15.85,9.65
65608,123,230,72,51,3,0,0,0,1,33,43.63,13.97,15.65,11.82,15.78,12.29,18.68,16.04,9.23
25796,71,127,11,60,17,1,0,7,1,1,45.09,13.95,13.82,12.01,16.29,11.57,18.34,15.17,9.17
12582,0,118,0,0,13,0,1,10,0,4,57.19,10.63,12.75,8.98,10.69,9.68,14.38,13.41,7.48
18101,44,104,28,16,4,1,0,5,3,0,56.17,11.38,13.35,8.41,11.4,12.01,15.84,12.93,8.93
9093,0,55,1,-1,1,0,0,0,0,0,49.54,12.91,13.61,9.72,13.63,10.3,17.78,15.69,8.21
139106,138,324,155,-17,3,0,0,13,15,0,54.15,12.1,12.04,10.53,13.95,9.9,16.77,14.4,8.06
18657,0,145,0,0,4,1,0,2,6,0,36.88,12.93,17.47,12.36,12.4,12.68,15.01,14.97,8.47
7518,9,73,7,2,11,1,0,3,3,8,59.99,10.0,10.72,9.13,10.35,11.32,12.71,11.56,8.16
459,0,15,0,0,1,0,0,1,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
28819,14,114,3,11,1,0,0,5,17,0,60.4,9.58,11.47,8.35,9.05,9.89,12.42,10.79,7.11
20403,34,183,1,33,6,1,0,8,1,1,71.47,7.8,11.0,5.15,6.06,10.89,11.1,9.72,7.56
854,0,2,0,0,2,0,0,0,0,0,50.83,10.38,-1,11.92,10.95,10.47,12.33,11.59,6.82
1895,2,18,0,2,1,1,0,0,0,0,-1.97,25.69,-1,12.6,27.28,20.3,38.17,29.29,15.67
91167,176,343,0,176,3,4,0,0,0,0,51.93,12.15,16.57,9.6,12.69,10.83,16.95,14.47,8.38
42114,42,257,51,-9,5,0,0,10,3,67,39.69,15.68,19.12,9.66,16.36,14.61,22.61,18.4,10.92
16175,47,72,15,32,2,1,0,6,0,0,17.33,21.01,20.8,14.7,24.89,14.72,28.59,21.46,12.68
1751,1,19,1,0,1,1,1,2,0,0,58.03,9.89,-1,6.47,7.52,17.36,12.92,11.97,10.21
4079,2,10,0,2,1,0,0,2,0,0,44.61,15.95,-1,6.4,15.69,13.71,23.43,19.67,10.85
5674,2,26,1,1,6,1,0,1,0,0,61.37,9.62,11.67,8.96,9.86,9.94,12.39,11.62,7.19
19975,57,131,7,50,3,1,0,3,1,0,50.3,14.36,16.2,7.43,14.91,12.38,21.28,16.4,10.12
120712,219,579,168,51,6,0,7,7,13,13,28.42,17.54,26.03,13.64,20.14,14.8,23.79,17.75,11.43
8190,15,65,6,9,3,4,2,5,0,0,69.35,9.65,-1,5.27,9.09,11.84,15.64,13.53,8.56
17539,42,66,19,23,3,0,1,6,1,0,44.56,13.97,15.51,11.55,15.83,11.84,18.98,16.06,9.54
43974,69,202,0,69,7,1,4,7,2,8,54.58,9.89,12.86,9.82,9.32,10.72,11.73,12.11,7.37
12832,21,103,20,1,13,1,1,4,3,8,42.39,15.0,14.41,12.86,18.31,13.73,19.98,16.81,11.02
161905,374,841,83,291,3,0,0,10,29,0,39.33,15.38,20.61,11.32,17.0,12.16,21.62,17.89,9.62
35747,40,149,0,40,23,1,0,5,6,0,51.49,12.94,16.24,9.31,13.89,10.92,18.44,15.83,8.77
842,1,8,0,1,4,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
741,0,3,0,0,1,0,0,0,0,1,55.63,8.75,-1,9.16,7.12,10.4,7.69,6.18,6.47
7567,4,43,3,1,3,1,0,4,0,0,52.05,12.67,-1,9.24,13.48,13.38,18.46,16.35,9.91
21233,17,216,4,13,6,1,6,4,3,45,65.57,8.27,12.4,6.66,6.63,11.32,10.92,10.59,7.53
5124,5,18,3,2,4,0,0,5,0,0,47.85,11.67,-1,9.08,10.28,12.04,14.96,13.67,7.98
1848,0,7,0,0,1,0,0,3,0,0,38.03,11.86,-1,12.74,11.06,11.0,12.32,15.45,7.28
1075,0,15,0,0,2,0,0,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
35984,91,211,14,77,18,1,7,7,3,0,34.41,18.31,16.45,10.1,20.54,13.13,27.16,20.6,11.19
4347,5,30,0,5,8,1,0,5,0,0,65.55,9.04,-1,7.65,8.83,12.13,12.78,10.52,8.93
34453,8,339,0,8,3,0,0,9,4,0,70.78,9.97,11.98,2.93,8.23,14.74,15.67,12.62,10.53
50714,98,225,54,44,22,1,0,9,18,0,49.09,12.13,14.6,10.72,12.79,11.82,16.04,14.32,8.81
12927,0,52,0,0,7,1,0,2,1,0,41.32,12.9,16.2,11.24,12.61,11.82,16.22,16.66,8.66
8662,5,54,1,4,6,0,0,8,0,0,46.18,11.49,13.4,10.31,10.49,9.82,13.53,12.79,7.01
15852,60,43,33,27,8,1,0,5,0,1,46.29,11.91,14.02,11.13,11.96,12.14,14.59,13.28,8.64
25933,45,102,45,0,5,1,2,6,2,0,37.27,16.15,16.97,13.36,19.59,13.33,22.29,17.66,10.84
11144,31,51,1,30,5,1,0,5,0,0,48.97,12.66,14.93,9.86,13.1,12.34,17.38,15.47,9.11
28332,61,149,40,21,4,1,1,0,0,0,39.16,17.7,16.65,8.72,19.55,13.79,25.88,19.88,12.08
57119,93,353,49,44,1,0,13,2,0,62,37.49,15.67,18.81,10.89,16.7,12.37,22.12,18.52,9.98
45837,81,204,19,62,7,5,3,6,7,0,54.03,12.29,14.84,9.29,13.3,11.47,17.38,14.72,8.83
51171,149,151,85,64,13,1,0,3,0,0,53.9,12.52,13.35,7.73,12.47,13.7,17.21,14.19,10.15
1759,3,11,3,0,5,0,0,1,0,0,54.61,10.38,-1,12.7,12.52,11.44,12.64,11.4,8.34
887,0,8,0,0,2,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
13121,28,60,4,24,3,0,0,5,0,0,56.4,8.65,11.73,9.97,7.78,12.09,8.01,9.47,7.47
46915,134,252,62,72,11,1,4,10,20,0,53.11,11.84,17.84,9.24,12.14,14.02,16.88,14.57,9.86
2268,1,21,0,1,4,0,0,2,0,2,70.24,7.39,-1,6.14,5.81,11.36,8.77,9.66,7.27
23538,0,302,0,0,1,0,14,7,10,1,64.78,9.68,12.28,5.81,8.36,11.84,13.78,12.15,8.09
74004,83,692,72,11,8,1,0,0,0,83,55.89,11.37,17.88,7.81,10.82,12.18,15.76,14.06,8.99
17178,37,70,10,27,8,0,0,9,2,2,48.47,12.66,14.6,10.64,13.58,9.11,17.24,15.61,7.92
34580,68,240,52,16,3,1,5,10,9,2,62.66,9.32,13.56,9.6,10.16,11.12,12.68,11.52,8.16
93929,148,542,94,54,6,0,7,11,16,82,46.47,11.77,14.7,10.79,11.47,12.51,14.39,14.16,8.54
1091,0,26,0,0,4,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
13697,14,120,8,6,2,0,0,7,0,0,52.83,11.59,13.82,10.04,12.22,11.44,15.32,13.86,8.43
7058,0,76,0,0,1,1,0,0,0,0,-171.74,97.06,-1,4.39,120.34,30.35,150.83,101.2,44.38
12838,0,74,0,0,3,0,2,4,0,1,47.71,12.21,15.51,10.22,12.16,10.56,16.01,13.49,7.87
1399,1,7,0,1,2,1,0,1,0,0,40.32,15.33,-1,7.67,14.23,17.11,21.88,18.79,12.19
23651,25,128,6,19,12,0,3,6,0,0,51.84,12.67,12.52,9.46,13.58,10.3,17.44,14.94,8.3
106281,167,360,94,73,7,0,3,2,2,27,47.11,12.4,17.62,11.42,13.33,11.81,16.03,14.92,8.77
1371,2,18,0,2,1,0,0,4,0,0,16.76,19.5,-1,10.87,18.59,19.46,28.67,21.44,13.8
13431,28,58,0,28,4,0,0,7,1,0,39.18,12.58,14.74,12.08,12.11,11.96,15.07,13.61,8.35
23447,33,58,18,15,3,0,3,1,0,0,33.35,16.17,18.06,13.58,18.71,12.33,21.23,17.48,10.06
51274,49,183,10,39,3,12,1,4,24,0,-26.26,41.16,27.72,8.22,48.87,19.14,66.89,43.64,21.25
31182,118,164,0,118,9,1,0,8,1,0,56.48,8.82,13.87,9.92,8.03,12.04,8.56,10.36,7.46
2979,4,24,0,4,3,0,0,1,0,0,63.42,8.38,-1,9.28,8.41,11.53,10.88,10.02,7.65
20395,41,49,36,5,5,1,0,7,1,0,37.73,15.48,16.03,11.38,16.78,11.78,21.08,17.17,9.43
12288,3,99,2,1,6,1,2,6,0,3,51.48,11.11,14.31,9.86,10.8,10.71,13.95,12.23,7.87
1864,0,20,0,0,6,0,0,1,0,0,55.62,10.39,-1,7.57,8.69,12.66,12.95,12.1,8.34
24881,12,235,3,9,11,2,0,9,11,27,51.45,11.56,15.16,8.78,10.77,11.28,15.19,13.67,8.24
86622,148,448,3,145,2,0,1,13,6,1,52.26,11.49,12.97,11.71,13.2,13.1,15.41,13.14,8.75
27890,99,197,49,50,4,1,1,6,5,8,61.03,10.14,13.56,8.05,10.04,11.61,14.1,12.13,8.45
53525,23,384,21,2,11,1,6,11,22,52,42.34,16.62,16.85,6.32,16.33,14.76,23.93,19.23,11.64
61082,145,260,5,140,8,1,3,0,0,17,47.22,10.83,14.51,11.79,10.75,12.02,12.28,13.04,7.69
1507,0,15,0,0,3,0,0,1,0,0,90.93,3.5,-1,3.8,2.34,11.45,6.4,6.65,7.62
753,0,15,0,0,2,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
5495,2,72,0,2,1,1,20,5,0,0,66.51,9.41,-1,4.94,7.61,15.01,13.83,11.52,10.18
10979,21,81,19,2,1,1,1,4,2,0,36.95,13.96,16.07,12.17,14.21,12.53,17.37,16.07,9.2
32947,99,131,46,53,14,1,0,7,3,0,47.87,12.61,15.47,10.13,12.92,11.05,17.38,15.61,8.4
17406,37,129,15,22,2,1,0,6,0,0,57.77,11.22,13.4,7.81,11.05,10.57,15.64,13.96,8.06
22424,55,109,26,29,4,1,4,1,0,0,41.74,13.52,15.86,11.69,14.28,11.89,17.76,15.97,8.89
16499,28,116,12,16,5,1,0,9,2,9,57.52,12.65,14.84,6.65,12.85,12.44,19.17,15.16,9.75
5037,11,38,1,10,2,0,0,3,0,0,60.49,7.87,12.46,8.71,6.45,12.91,7.72,9.84,7.8
56981,60,236,14,46,6,1,0,13,25,26,34.61,14.96,16.61,12.42,15.72,12.14,19.87,18.4,9.19
28316,65,144,5,60,3,2,0,6,0,0,52.49,14.08,14.17,8.15,15.53,13.19,20.66,16.82,10.8
34264,58,171,30,28,9,0,3,5,9,29,40.96,13.14,15.34,12.52,13.99,12.06,16.67,15.36,8.53
3970,5,30,1,4,4,1,0,4,0,0,44.3,13.25,-1,9.68,12.83,13.79,17.8,13.85,9.92
7606,18,37,8,10,4,1,1,5,2,0,56.12,9.92,12.97,8.95,9.08,13.56,12.36,12.11,8.9
7396,16,46,10,6,2,1,0,4,0,0,46.12,14.91,-1,10.65,17.41,12.57,21.0,16.88,10.58
7327,4,68,0,4,1,0,4,9,0,1,59.63,10.13,12.34,8.78,10.23,11.04,13.39,12.15,8.03
50398,112,190,54,58,11,0,5,13,2,29,34.93,14.91,17.51,11.67,15.12,12.3,19.9,15.61,9.1
35370,69,145,4,65,6,1,3,8,6,5,32.05,15.83,17.99,12.58,16.86,11.45,21.71,17.71,9.09
652,0,12,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2705,1,24,0,1,6,1,0,4,0,0,60.33,11.65,-1,6.73,11.72,14.88,18.06,14.22,11.39
132478,284,436,277,7,6,0,12,13,16,43,27.5,20.13,21.79,11.74,23.6,16.46,29.94,22.2,13.42
10222,0,31,0,0,4,0,0,1,0,0,46.87,13.34,14.55,11.13,14.87,10.02,18.12,15.4,8.32
780,0,11,0,0,4,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
5760,2,61,0,2,8,1,0,8,2,0,34.16,15.18,-1,11.63,15.42,15.06,20.5,12.57,10.73
24378,69,155,30,39,9,1,0,10,2,10,57.62,12.66,14.07,6.72,12.96,11.87,19.24,15.36,9.68
977,0,19,0,0,5,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44516,95,190,20,75,18,1,0,10,12,0,44.76,12.47,15.07,11.54,12.95,10.93,15.46,14.32,7.99
9058,14,54,7,7,7,1,1,0,0,0,51.07,12.16,14.27,10.17,12.95,10.97,16.55,14.9,8.32
14958,12,72,2,10,7,1,0,6,2,2,47.98,10.93,16.32,11.88,11.18,11.04,12.95,13.31,7.52
2093,1,30,1,0,3,0,0,1,0,0,63.94,11.49,-1,4.48,10.6,11.31,17.62,14.5,8.8
8082,0,68,0,0,13,1,0,6,1,0,55.17,11.47,14.12,10.4,12.9,11.13,15.76,14.11,8.48
7909,14,54,6,8,3,1,1,4,0,0,26.41,16.69,-1,13.26,17.55,13.21,21.73,19.4,9.99
66305,179,297,43,136,3,0,2,9,9,1,48.28,11.92,18.14,10.59,12.06,12.65,15.51,15.18,8.63
43771,93,242,0,93,6,1,8,0,0,1,50.72,10.76,14.74,11.15,10.99,11.78,13.05,13.31,7.84
4710,2,57,2,0,18,1,0,3,0,0,62.4,11.01,-1,5.95,10.4,12.5,16.18,12.74,9.42
2383,0,12,0,0,2,0,0,3,2,0,88.76,4.57,-1,0.86,1.18,18.32,7.69,7.8,10.85
2574,0,17,0,0,4,0,1,1,0,0,51.44,10.25,-1,9.6,9.0,12.74,12.28,12.25,7.96
67669,124,422,4,120,1,1,8,10,14,25,43.64,12.08,13.19,11.56,11.93,12.2,14.44,13.43,8.44
950,3,11,0,3,1,0,0,1,0,0,41.95,10.63,-1,7.22,5.51,16.59,10.12,11.7,9.35
6154,0,39,0,0,2,0,5,4,9,1,59.84,10.35,12.86,8.19,10.23,12.09,14.31,12.52,8.14
2222,3,11,3,0,6,0,0,0,0,0,66.99,8.72,-1,8.25,9.08,11.8,12.5,10.04,8.92
25450,64,151,20,44,4,0,0,7,1,2,47.48,12.57,16.57,10.46,13.0,12.19,16.48,14.88,8.8
57898,109,449,74,35,9,1,14,11,8,24,46.88,13.63,15.47,9.78,14.37,12.78,19.23,17.07,9.56
2325,2,9,2,0,4,1,0,2,0,0,25.14,20.18,-1,9.93,21.6,16.9,32.12,22.07,13.59
11861,26,53,15,11,6,1,1,1,0,0,44.61,13.7,-1,10.61,14.56,12.62,19.43,17.35,9.38
1221,0,5,0,0,2,1,0,0,0,0,12.74,21.34,-1,13.97,23.66,18.8,30.0,22.02,14.09
34464,63,132,39,24,5,1,2,6,0,7,54.71,10.99,14.98,9.72,11.31,10.86,14.43,13.59,8.28
300,0,7,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2631,6,21,4,2,5,1,0,2,0,0,36.2,16.7,-1,9.2,17.06,16.67,24.6,20.98,12.09
24647,31,207,19,12,26,1,0,7,3,36,47.37,13.5,17.47,10.24,14.62,13.32,18.64,15.18,9.96
44314,79,236,48,31,2,0,0,9,12,0,50.96,11.88,12.1,10.47,12.62,11.39,15.54,14.2,8.28
6313,14,40,9,5,1,0,0,5,4,0,80.16,6.17,8.94,2.76,3.4,15.87,8.52,8.2,9.71
4093,7,27,4,3,5,1,0,4,0,1,74.67,6.6,-1,6.9,6.14,11.43,8.44,8.54,7.64
5379,1,33,1,0,4,0,0,6,0,0,27.19,19.58,-1,13.83,24.06,13.68,30.93,21.93,11.67
22817,73,115,0,73,8,1,0,7,0,1,54.81,12.22,14.02,9.79,13.78,10.73,17.58,15.65,8.43
11994,29,71,21,8,6,0,0,3,4,0,39.71,14.03,16.03,11.32,14.43,11.73,18.12,15.21,9.09
7512,23,31,3,20,7,0,0,2,0,0,54.23,11.31,-1,9.46,11.59,11.62,15.33,13.93,8.5
6881,10,17,0,10,2,0,0,0,0,0,56.55,8.5,14.36,10.06,7.66,14.38,7.95,9.58,7.75
17532,9,131,0,9,7,1,2,9,0,0,49.24,11.15,14.41,10.9,11.12,11.64,13.55,12.74,8.23
20069,39,145,21,18,0,1,0,0,0,0,61.43,11.27,13.92,5.74,10.48,13.68,16.86,13.32,9.94
9529,24,104,16,8,11,1,0,5,0,0,74.3,7.8,11.28,4.89,6.58,12.46,12.26,10.51,9.15
31980,31,303,0,31,8,0,2,5,15,22,49.34,12.8,15.73,8.97,12.76,11.4,17.82,14.91,8.69
23705,47,155,5,42,4,0,0,3,6,4,58.19,9.14,14.07,8.27,7.64,12.22,11.15,10.36,8.14
32187,81,120,47,34,13,0,0,7,1,0,59.49,8.87,12.22,9.69,8.63,11.12,10.51,10.57,7.54
471,1,4,0,1,3,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
21130,45,135,19,26,10,1,2,6,2,1,47.23,11.64,14.02,10.17,10.93,11.32,14.46,13.9,8.24
23051,47,71,39,8,3,2,0,1,0,0,31.37,16.57,15.11,13.08,18.56,12.64,21.52,18.24,10.06
6247,3,62,7,-4,7,1,0,9,0,9,53.15,11.72,-1,8.67,11.44,11.91,15.65,13.5,8.69
3574,8,37,5,3,9,0,0,1,0,1,55.77,10.55,-1,10.33,11.26,13.38,13.21,11.87,9.32
40781,83,283,64,19,19,0,0,11,1,1,59.75,11.36,13.61,9.16,12.93,11.45,16.19,13.57,8.96
30156,42,320,8,34,18,1,4,0,0,6,53.19,11.77,15.43,8.78,11.64,12.44,15.99,13.72,9.04
10901,22,67,9,13,8,4,0,6,0,2,52.7,14.91,-1,7.45,16.7,14.38,23.16,17.59,11.59
